=== COMPREHENSIVE SIGNIFICANT TERMS ANALYSIS ===
Total files analyzed: 10 (5 ILI + 5 NREVSS)
Total unique terms found: 135

=== COMBINED ANALYSIS (ILI + NREVSS) ===
Total Bonferroni significant terms: 26

Term	Count/10	Mean_p_value	Median_p_value	Files
fever symptoms	1/10	0.045507	0.045507	comprehensive_granger_individual_significant_terms_ili_lag3.txt
(TOPIC)0n073	1/10	0.008846	0.008846	comprehensive_granger_individual_significant_terms_ili_lag2.txt
food poisoning	1/10	0.017495	0.017495	comprehensive_granger_individual_significant_terms_ili_lag2.txt
ear thermometer	1/10	0.013198	0.013198	comprehensive_granger_individual_significant_terms_ili_lag1.txt
taking temperature	1/10	0.015597	0.015597	comprehensive_granger_individual_significant_terms_ili_lag1.txt
food poisoning symptoms	1/10	0.018730	0.018730	comprehensive_granger_individual_significant_terms_ili_lag1.txt
tussin	1/10	0.024490	0.024490	comprehensive_granger_individual_significant_terms_ili_lag1.txt
fever	1/10	0.025877	0.025877	comprehensive_granger_individual_significant_terms_ili_lag5.txt
normal body	1/10	0.041848	0.041848	comprehensive_granger_individual_significant_terms_ili_lag5.txt
(TOPIC)0416v7	1/10	0.039327	0.039327	comprehensive_granger_individual_significant_terms_ili_lag4.txt
avian flu california + avian flu symptoms in human_d16842ee	1/10	0.025196	0.025196	granger_significant_terms_nrevss_lag5.txt
(TOPIC)09gh4jl + best flu medicine + best medicine_ac91b042	1/10	0.033678	0.033678	granger_significant_terms_nrevss_lag5.txt
acute bronchitis	1/10	0.012897	0.012897	granger_significant_terms_nrevss_lag4.txt
spanish flu	1/10	0.015984	0.015984	granger_significant_terms_nrevss_lag4.txt
advil cold and flu + allergies vs cold + best cold_2d4fc80d	1/10	0.021904	0.021904	granger_significant_terms_nrevss_lag4.txt
avian bird flu + avian flu h5n1 + avian flu sympto_b1d3aa48	1/10	0.049747	0.049747	granger_significant_terms_nrevss_lag4.txt
best medicine for cold	1/10	0.049800	0.049800	granger_significant_terms_nrevss_lag4.txt
advil cold and flu + allergies vs cold + best cold_46a6a780	1/10	0.010396	0.010396	granger_significant_terms_nrevss_lag1.txt
cold flu	1/10	0.016379	0.016379	granger_significant_terms_nrevss_lag1.txt
stomach flu symptoms	1/10	0.022902	0.022902	granger_significant_terms_nrevss_lag1.txt
difference in flu type a and b + flu b incubation _f0f3f08e	1/10	0.037142	0.037142	granger_significant_terms_nrevss_lag1.txt
flu test	1/10	0.029716	0.029716	granger_significant_terms_nrevss_lag3.txt
best flu medicine for adults + children's tylenol _c6535e4a	1/10	0.029794	0.029794	granger_significant_terms_nrevss_lag2.txt

================================================================================

=== ILI-SPECIFIC ANALYSIS (5 files) ===
ILI Bonferroni significant terms: 16

Term	Count/5	Mean_p_value	Median_p_value	ILI_Files
flu texas	3/5	0.000077	0.000058	comprehensive_granger_individual_significant_terms_ili_lag3.txt, comprehensive_granger_individual_significant_terms_ili_lag2.txt, comprehensive_granger_individual_significant_terms_ili_lag5.txt, comprehensive_granger_individual_significant_terms_ili_lag4.txt
stomach flu virus	2/5	0.000151	0.000151	comprehensive_granger_individual_significant_terms_ili_lag3.txt, comprehensive_granger_individual_significant_terms_ili_lag2.txt, comprehensive_granger_individual_significant_terms_ili_lag1.txt, comprehensive_granger_individual_significant_terms_ili_lag5.txt, comprehensive_granger_individual_significant_terms_ili_lag4.txt
high fever	2/5	0.000133	0.000133	comprehensive_granger_individual_significant_terms_ili_lag3.txt, comprehensive_granger_individual_significant_terms_ili_lag2.txt, comprehensive_granger_individual_significant_terms_ili_lag1.txt, comprehensive_granger_individual_significant_terms_ili_lag5.txt, comprehensive_granger_individual_significant_terms_ili_lag4.txt
low body	1/5	0.000263	0.000263	comprehensive_granger_individual_significant_terms_ili_lag3.txt, comprehensive_granger_individual_significant_terms_ili_lag2.txt, comprehensive_granger_individual_significant_terms_ili_lag1.txt, comprehensive_granger_individual_significant_terms_ili_lag4.txt
(TOPIC)0j5fv	1/5	0.000028	0.000028	comprehensive_granger_individual_significant_terms_ili_lag3.txt, comprehensive_granger_individual_significant_terms_ili_lag2.txt, comprehensive_granger_individual_significant_terms_ili_lag1.txt, comprehensive_granger_individual_significant_terms_ili_lag5.txt, comprehensive_granger_individual_significant_terms_ili_lag4.txt
strep throat	1/5	0.000097	0.000097	comprehensive_granger_individual_significant_terms_ili_lag3.txt, comprehensive_granger_individual_significant_terms_ili_lag2.txt, comprehensive_granger_individual_significant_terms_ili_lag5.txt, comprehensive_granger_individual_significant_terms_ili_lag4.txt
avian flu california + avian flu symptoms in human_58835c33	1/5	0.000292	0.000292	comprehensive_granger_individual_significant_terms_ili_lag3.txt, comprehensive_granger_individual_significant_terms_ili_lag5.txt, comprehensive_granger_individual_significant_terms_ili_lag4.txt
what is the flu	1/5	0.000198	0.000198	comprehensive_granger_individual_significant_terms_ili_lag3.txt, comprehensive_granger_individual_significant_terms_ili_lag1.txt, comprehensive_granger_individual_significant_terms_ili_lag5.txt, comprehensive_granger_individual_significant_terms_ili_lag4.txt
flu children	1/5	0.000062	0.000062	comprehensive_granger_individual_significant_terms_ili_lag3.txt, comprehensive_granger_individual_significant_terms_ili_lag2.txt, comprehensive_granger_individual_significant_terms_ili_lag5.txt, comprehensive_granger_individual_significant_terms_ili_lag4.txt
flu cough	1/5	0.000027	0.000027	comprehensive_granger_individual_significant_terms_ili_lag3.txt, comprehensive_granger_individual_significant_terms_ili_lag2.txt, comprehensive_granger_individual_significant_terms_ili_lag1.txt, comprehensive_granger_individual_significant_terms_ili_lag4.txt
tylenol extra strength	1/5	0.000294	0.000294	comprehensive_granger_individual_significant_terms_ili_lag2.txt, comprehensive_granger_individual_significant_terms_ili_lag5.txt
h1n1	1/5	0.000000	0.000000	comprehensive_granger_individual_significant_terms_ili_lag2.txt, comprehensive_granger_individual_significant_terms_ili_lag1.txt, comprehensive_granger_individual_significant_terms_ili_lag5.txt
cough and fever	1/5	0.000000	0.000000	comprehensive_granger_individual_significant_terms_ili_lag1.txt
dry cough	1/5	0.000020	0.000020	comprehensive_granger_individual_significant_terms_ili_lag1.txt
stomach flu	1/5	0.000048	0.000048	comprehensive_granger_individual_significant_terms_ili_lag1.txt
how long does flu last	1/5	0.000319	0.000319	comprehensive_granger_individual_significant_terms_ili_lag1.txt, comprehensive_granger_individual_significant_terms_ili_lag4.txt

ILI FDR significant terms (not Bonferroni): 35

Term	Count/5	Mean_p_value	Median_p_value	ILI_Files
incubation period	3/5	0.001144	0.000719	comprehensive_granger_individual_significant_terms_ili_lag3.txt, comprehensive_granger_individual_significant_terms_ili_lag1.txt, comprehensive_granger_individual_significant_terms_ili_lag5.txt, comprehensive_granger_individual_significant_terms_ili_lag4.txt
symptoms of pneumonia	2/5	0.000810	0.000810	comprehensive_granger_individual_significant_terms_ili_lag3.txt, comprehensive_granger_individual_significant_terms_ili_lag2.txt, comprehensive_granger_individual_significant_terms_ili_lag5.txt, comprehensive_granger_individual_significant_terms_ili_lag4.txt
strep	2/5	0.002011	0.002011	comprehensive_granger_individual_significant_terms_ili_lag3.txt, comprehensive_granger_individual_significant_terms_ili_lag2.txt, comprehensive_granger_individual_significant_terms_ili_lag1.txt, comprehensive_granger_individual_significant_terms_ili_lag5.txt, comprehensive_granger_individual_significant_terms_ili_lag4.txt
how long does the flu last	2/5	0.001186	0.001186	comprehensive_granger_individual_significant_terms_ili_lag3.txt, comprehensive_granger_individual_significant_terms_ili_lag2.txt, comprehensive_granger_individual_significant_terms_ili_lag5.txt, comprehensive_granger_individual_significant_terms_ili_lag4.txt
(TOPIC)0cjf0	2/5	0.003280	0.003280	comprehensive_granger_individual_significant_terms_ili_lag3.txt, comprehensive_granger_individual_significant_terms_ili_lag2.txt, comprehensive_granger_individual_significant_terms_ili_lag5.txt, comprehensive_granger_individual_significant_terms_ili_lag4.txt
flu a symptoms	2/5	0.003393	0.003393	comprehensive_granger_individual_significant_terms_ili_lag3.txt, comprehensive_granger_individual_significant_terms_ili_lag1.txt, comprehensive_granger_individual_significant_terms_ili_lag4.txt
flu treatment	1/5	0.000939	0.000939	comprehensive_granger_individual_significant_terms_ili_lag3.txt, comprehensive_granger_individual_significant_terms_ili_lag1.txt, comprehensive_granger_individual_significant_terms_ili_lag5.txt, comprehensive_granger_individual_significant_terms_ili_lag4.txt
stomach virus	1/5	0.001151	0.001151	comprehensive_granger_individual_significant_terms_ili_lag3.txt, comprehensive_granger_individual_significant_terms_ili_lag2.txt, comprehensive_granger_individual_significant_terms_ili_lag1.txt
cold flu symptoms	1/5	0.002318	0.002318	comprehensive_granger_individual_significant_terms_ili_lag3.txt, comprehensive_granger_individual_significant_terms_ili_lag2.txt, comprehensive_granger_individual_significant_terms_ili_lag1.txt, comprehensive_granger_individual_significant_terms_ili_lag5.txt, comprehensive_granger_individual_significant_terms_ili_lag4.txt
flu incubation	1/5	0.000753	0.000753	comprehensive_granger_individual_significant_terms_ili_lag3.txt, comprehensive_granger_individual_significant_terms_ili_lag2.txt, comprehensive_granger_individual_significant_terms_ili_lag1.txt, comprehensive_granger_individual_significant_terms_ili_lag5.txt, comprehensive_granger_individual_significant_terms_ili_lag4.txt
how long contagious	1/5	0.001042	0.001042	comprehensive_granger_individual_significant_terms_ili_lag3.txt, comprehensive_granger_individual_significant_terms_ili_lag2.txt, comprehensive_granger_individual_significant_terms_ili_lag5.txt, comprehensive_granger_individual_significant_terms_ili_lag4.txt
rsv symptoms	1/5	0.002929	0.002929	comprehensive_granger_individual_significant_terms_ili_lag3.txt, comprehensive_granger_individual_significant_terms_ili_lag1.txt, comprehensive_granger_individual_significant_terms_ili_lag4.txt
flu remedies	1/5	0.002530	0.002530	comprehensive_granger_individual_significant_terms_ili_lag3.txt, comprehensive_granger_individual_significant_terms_ili_lag2.txt, comprehensive_granger_individual_significant_terms_ili_lag1.txt, comprehensive_granger_individual_significant_terms_ili_lag4.txt
(TOPIC)087cyy	1/5	0.003731	0.003731	comprehensive_granger_individual_significant_terms_ili_lag3.txt, comprehensive_granger_individual_significant_terms_ili_lag2.txt, comprehensive_granger_individual_significant_terms_ili_lag4.txt
sinus infections	1/5	0.001185	0.001185	comprehensive_granger_individual_significant_terms_ili_lag3.txt, comprehensive_granger_individual_significant_terms_ili_lag1.txt, comprehensive_granger_individual_significant_terms_ili_lag4.txt
tessalon	1/5	0.001338	0.001338	comprehensive_granger_individual_significant_terms_ili_lag3.txt, comprehensive_granger_individual_significant_terms_ili_lag5.txt, comprehensive_granger_individual_significant_terms_ili_lag4.txt
fever reducer	1/5	0.002414	0.002414	comprehensive_granger_individual_significant_terms_ili_lag3.txt, comprehensive_granger_individual_significant_terms_ili_lag2.txt
symptoms of the flu	1/5	0.003891	0.003891	comprehensive_granger_individual_significant_terms_ili_lag3.txt, comprehensive_granger_individual_significant_terms_ili_lag2.txt, comprehensive_granger_individual_significant_terms_ili_lag4.txt
(TOPIC)06n3pj	1/5	0.005728	0.005728	comprehensive_granger_individual_significant_terms_ili_lag3.txt, comprehensive_granger_individual_significant_terms_ili_lag2.txt
(TOPIC)0b76bty	1/5	0.000541	0.000541	comprehensive_granger_individual_significant_terms_ili_lag2.txt
the flu virus	1/5	0.001528	0.001528	comprehensive_granger_individual_significant_terms_ili_lag2.txt, comprehensive_granger_individual_significant_terms_ili_lag4.txt
best cold medicine	1/5	0.004089	0.004089	comprehensive_granger_individual_significant_terms_ili_lag2.txt
symptoms of stomach flu	1/5	0.004743	0.004743	comprehensive_granger_individual_significant_terms_ili_lag2.txt
(TOPIC)0b2cnj	1/5	0.007216	0.007216	comprehensive_granger_individual_significant_terms_ili_lag2.txt, comprehensive_granger_individual_significant_terms_ili_lag1.txt
break a fever	1/5	0.002118	0.002118	comprehensive_granger_individual_significant_terms_ili_lag2.txt, comprehensive_granger_individual_significant_terms_ili_lag1.txt, comprehensive_granger_individual_significant_terms_ili_lag5.txt, comprehensive_granger_individual_significant_terms_ili_lag4.txt
cold symptoms	1/5	0.000363	0.000363	comprehensive_granger_individual_significant_terms_ili_lag2.txt, comprehensive_granger_individual_significant_terms_ili_lag1.txt
(TOPIC)01b_21	1/5	0.001026	0.001026	comprehensive_granger_individual_significant_terms_ili_lag2.txt, comprehensive_granger_individual_significant_terms_ili_lag5.txt, comprehensive_granger_individual_significant_terms_ili_lag4.txt
covid + covid deaths + covid incubation period + covid vs flu vs cold + incubation period for covid + medicine for covid + spanish flu vs covid	1/5	0.001595	0.001595	comprehensive_granger_individual_significant_terms_ili_lag2.txt, comprehensive_granger_individual_significant_terms_ili_lag1.txt, comprehensive_granger_individual_significant_terms_ili_lag5.txt
stomach virus symptoms	1/5	0.002552	0.002552	comprehensive_granger_individual_significant_terms_ili_lag1.txt, comprehensive_granger_individual_significant_terms_ili_lag5.txt, comprehensive_granger_individual_significant_terms_ili_lag4.txt
(TOPIC)028tns	1/5	0.004188	0.004188	comprehensive_granger_individual_significant_terms_ili_lag1.txt
cure flu	1/5	0.004449	0.004449	comprehensive_granger_individual_significant_terms_ili_lag1.txt
body temperature	1/5	0.004786	0.004786	comprehensive_granger_individual_significant_terms_ili_lag1.txt
(TOPIC)0683jy	1/5	0.004954	0.004954	comprehensive_granger_individual_significant_terms_ili_lag1.txt
(TOPIC)03t8j0	1/5	0.007076	0.007076	comprehensive_granger_individual_significant_terms_ili_lag1.txt, comprehensive_granger_individual_significant_terms_ili_lag5.txt
reduce fever	1/5	0.007543	0.007543	comprehensive_granger_individual_significant_terms_ili_lag1.txt

ILI Uncorrected significant terms (not Bonferroni or FDR): 59

Term	Count/5	Mean_p_value	Median_p_value	ILI_Files
flu headache	4/5	0.026133	0.024205	comprehensive_granger_individual_significant_terms_ili_lag3.txt, comprehensive_granger_individual_significant_terms_ili_lag2.txt, comprehensive_granger_individual_significant_terms_ili_lag5.txt, comprehensive_granger_individual_significant_terms_ili_lag4.txt
avian flu news + avian flu outbreak + bird flu out_804ade0a	4/5	0.020543	0.015894	comprehensive_granger_individual_significant_terms_ili_lag3.txt, comprehensive_granger_individual_significant_terms_ili_lag2.txt, comprehensive_granger_individual_significant_terms_ili_lag5.txt, comprehensive_granger_individual_significant_terms_ili_lag4.txt
(TOPIC)09gh4jl + best flu medicine + best medicine_c82ee129	4/5	0.033031	0.035138	comprehensive_granger_individual_significant_terms_ili_lag3.txt, comprehensive_granger_individual_significant_terms_ili_lag2.txt, comprehensive_granger_individual_significant_terms_ili_lag1.txt, comprehensive_granger_individual_significant_terms_ili_lag5.txt
flu like symptoms	3/5	0.013947	0.013309	comprehensive_granger_individual_significant_terms_ili_lag3.txt, comprehensive_granger_individual_significant_terms_ili_lag5.txt, comprehensive_granger_individual_significant_terms_ili_lag4.txt
flu care	3/5	0.028223	0.021490	comprehensive_granger_individual_significant_terms_ili_lag3.txt, comprehensive_granger_individual_significant_terms_ili_lag2.txt, comprehensive_granger_individual_significant_terms_ili_lag4.txt
flu and fever	3/5	0.014735	0.008528	comprehensive_granger_individual_significant_terms_ili_lag3.txt, comprehensive_granger_individual_significant_terms_ili_lag5.txt, comprehensive_granger_individual_significant_terms_ili_lag4.txt
robitussin	3/5	0.023488	0.023237	comprehensive_granger_individual_significant_terms_ili_lag3.txt, comprehensive_granger_individual_significant_terms_ili_lag2.txt, comprehensive_granger_individual_significant_terms_ili_lag5.txt
avian flu california + avian flu symptoms in human_20e1d83d	3/5	0.028688	0.035411	comprehensive_granger_individual_significant_terms_ili_lag3.txt, comprehensive_granger_individual_significant_terms_ili_lag5.txt, comprehensive_granger_individual_significant_terms_ili_lag4.txt
pandemic	3/5	0.042108	0.041935	comprehensive_granger_individual_significant_terms_ili_lag2.txt, comprehensive_granger_individual_significant_terms_ili_lag1.txt, comprehensive_granger_individual_significant_terms_ili_lag5.txt
walking pneumonia	2/5	0.021344	0.021344	comprehensive_granger_individual_significant_terms_ili_lag3.txt, comprehensive_granger_individual_significant_terms_ili_lag4.txt
fever with flu	2/5	0.032935	0.032935	comprehensive_granger_individual_significant_terms_ili_lag3.txt, comprehensive_granger_individual_significant_terms_ili_lag4.txt
stomach flu diarrhea	2/5	0.036392	0.036392	comprehensive_granger_individual_significant_terms_ili_lag3.txt, comprehensive_granger_individual_significant_terms_ili_lag5.txt
fever flu symptoms	2/5	0.034837	0.034837	comprehensive_granger_individual_significant_terms_ili_lag3.txt, comprehensive_granger_individual_significant_terms_ili_lag5.txt
sinus medicine	2/5	0.027551	0.027551	comprehensive_granger_individual_significant_terms_ili_lag3.txt, comprehensive_granger_individual_significant_terms_ili_lag1.txt
(TOPIC)08pr_0	2/5	0.037537	0.037537	comprehensive_granger_individual_significant_terms_ili_lag3.txt, comprehensive_granger_individual_significant_terms_ili_lag4.txt
thermoscan	2/5	0.023210	0.023210	comprehensive_granger_individual_significant_terms_ili_lag2.txt, comprehensive_granger_individual_significant_terms_ili_lag1.txt
the flue	2/5	0.014028	0.014028	comprehensive_granger_individual_significant_terms_ili_lag2.txt, comprehensive_granger_individual_significant_terms_ili_lag5.txt
flu medicine	2/5	0.036394	0.036394	comprehensive_granger_individual_significant_terms_ili_lag2.txt, comprehensive_granger_individual_significant_terms_ili_lag1.txt
current flu symptoms + flu type a treatment + how long am i contagious with the flu + type a influenza symptoms	2/5	0.026466	0.026466	comprehensive_granger_individual_significant_terms_ili_lag2.txt, comprehensive_granger_individual_significant_terms_ili_lag1.txt
pneumonia symptoms	2/5	0.033950	0.033950	comprehensive_granger_individual_significant_terms_ili_lag2.txt, comprehensive_granger_individual_significant_terms_ili_lag4.txt
chest cold	2/5	0.040948	0.040948	comprehensive_granger_individual_significant_terms_ili_lag1.txt, comprehensive_granger_individual_significant_terms_ili_lag4.txt
symptoms of bronchitis	2/5	0.027347	0.027347	comprehensive_granger_individual_significant_terms_ili_lag5.txt, comprehensive_granger_individual_significant_terms_ili_lag4.txt
avian flu california + avian flu symptoms in human_44b9fefd	2/5	0.017475	0.017475	comprehensive_granger_individual_significant_terms_ili_lag5.txt, comprehensive_granger_individual_significant_terms_ili_lag4.txt
expectorant	2/5	0.013279	0.013279	comprehensive_granger_individual_significant_terms_ili_lag5.txt, comprehensive_granger_individual_significant_terms_ili_lag4.txt
period fever	2/5	0.015624	0.015624	comprehensive_granger_individual_significant_terms_ili_lag5.txt, comprehensive_granger_individual_significant_terms_ili_lag4.txt
influenza a vs b symptoms + medicine for flu and cough + stomach flu vs stomach bug	2/5	0.019181	0.019181	comprehensive_granger_individual_significant_terms_ili_lag5.txt, comprehensive_granger_individual_significant_terms_ili_lag4.txt
bronchitis	1/5	0.019987	0.019987	comprehensive_granger_individual_significant_terms_ili_lag3.txt
cough and sore throat	1/5	0.025603	0.025603	comprehensive_granger_individual_significant_terms_ili_lag3.txt
oscillococcinum	1/5	0.034461	0.034461	comprehensive_granger_individual_significant_terms_ili_lag3.txt
fever symptoms	1/5	0.045507	0.045507	comprehensive_granger_individual_significant_terms_ili_lag3.txt
(TOPIC)0n073	1/5	0.008846	0.008846	comprehensive_granger_individual_significant_terms_ili_lag2.txt
food poisoning	1/5	0.017495	0.017495	comprehensive_granger_individual_significant_terms_ili_lag2.txt
the flu symptoms	1/5	0.033149	0.033149	comprehensive_granger_individual_significant_terms_ili_lag2.txt
sinus	1/5	0.009443	0.009443	comprehensive_granger_individual_significant_terms_ili_lag1.txt
advil cold and flu + allergies vs cold + best cold_52555453	1/5	0.011380	0.011380	comprehensive_granger_individual_significant_terms_ili_lag1.txt
ear thermometer	1/5	0.013198	0.013198	comprehensive_granger_individual_significant_terms_ili_lag1.txt
best cough medicine	1/5	0.014164	0.014164	comprehensive_granger_individual_significant_terms_ili_lag1.txt
epidemic	1/5	0.014687	0.014687	comprehensive_granger_individual_significant_terms_ili_lag1.txt
taking temperature	1/5	0.015597	0.015597	comprehensive_granger_individual_significant_terms_ili_lag1.txt
food poisoning symptoms	1/5	0.018730	0.018730	comprehensive_granger_individual_significant_terms_ili_lag1.txt
tussin	1/5	0.024490	0.024490	comprehensive_granger_individual_significant_terms_ili_lag1.txt
best flu medicine for adults + children's tylenol _de4e67e7	1/5	0.026949	0.026949	comprehensive_granger_individual_significant_terms_ili_lag1.txt
best over the counter flu medicine + cold and flu _53c4abfe	1/5	0.028231	0.028231	comprehensive_granger_individual_significant_terms_ili_lag1.txt
flu stomach pain	1/5	0.037667	0.037667	comprehensive_granger_individual_significant_terms_ili_lag1.txt
the flu	1/5	0.040612	0.040612	comprehensive_granger_individual_significant_terms_ili_lag1.txt
i have the flu	1/5	0.043007	0.043007	comprehensive_granger_individual_significant_terms_ili_lag1.txt
symptoms of cold	1/5	0.003622	0.003622	comprehensive_granger_individual_significant_terms_ili_lag5.txt
(TOPIC)09gh4jl + best flu medicine + best medicine_e404534b	1/5	0.008029	0.008029	comprehensive_granger_individual_significant_terms_ili_lag5.txt
(TOPIC)0g9pc	1/5	0.015956	0.015956	comprehensive_granger_individual_significant_terms_ili_lag5.txt
dangerous fever	1/5	0.016260	0.016260	comprehensive_granger_individual_significant_terms_ili_lag5.txt
best over the counter flu medicine + cold and flu _4d7536f3	1/5	0.024701	0.024701	comprehensive_granger_individual_significant_terms_ili_lag5.txt
fever	1/5	0.025877	0.025877	comprehensive_granger_individual_significant_terms_ili_lag5.txt
avian flu	1/5	0.026491	0.026491	comprehensive_granger_individual_significant_terms_ili_lag5.txt
pneumonia	1/5	0.041278	0.041278	comprehensive_granger_individual_significant_terms_ili_lag5.txt
normal body	1/5	0.041848	0.041848	comprehensive_granger_individual_significant_terms_ili_lag5.txt
(TOPIC)01c751	1/5	0.041862	0.041862	comprehensive_granger_individual_significant_terms_ili_lag5.txt
flu virus	1/5	0.017836	0.017836	comprehensive_granger_individual_significant_terms_ili_lag4.txt
period flu	1/5	0.022975	0.022975	comprehensive_granger_individual_significant_terms_ili_lag4.txt
(TOPIC)0416v7	1/5	0.039327	0.039327	comprehensive_granger_individual_significant_terms_ili_lag4.txt

================================================================================

=== NREVSS-SPECIFIC ANALYSIS (5 files) ===
NREVSS Bonferroni significant terms: 12

Term	Count/5	Mean_p_value	Median_p_value	NREVSS_Files
(TOPIC)028tns	3/5	0.000061	0.000004	granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag3.txt, granger_significant_terms_nrevss_lag2.txt
(TOPIC)09gh4jl + best flu medicine + best medicine_c82ee129	2/5	0.000002	0.000002	granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag1.txt, granger_significant_terms_nrevss_lag3.txt, granger_significant_terms_nrevss_lag2.txt
the flu virus	2/5	0.000218	0.000218	granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag1.txt, granger_significant_terms_nrevss_lag3.txt, granger_significant_terms_nrevss_lag2.txt
h1n1	2/5	0.000015	0.000015	granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag1.txt, granger_significant_terms_nrevss_lag3.txt, granger_significant_terms_nrevss_lag2.txt
incubation period	1/5	0.000293	0.000293	granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag1.txt
tessalon	1/5	0.000040	0.000040	granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag3.txt, granger_significant_terms_nrevss_lag2.txt
flu like symptoms	1/5	0.000246	0.000246	granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag3.txt, granger_significant_terms_nrevss_lag2.txt
flu cough	1/5	0.000000	0.000000	granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag1.txt
the flu	1/5	0.000079	0.000079	granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag1.txt, granger_significant_terms_nrevss_lag3.txt, granger_significant_terms_nrevss_lag2.txt
(TOPIC)0g9pc	1/5	0.000260	0.000260	granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag4.txt
signs of flu	1/5	0.000320	0.000320	granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag3.txt
(TOPIC)06p_bp	1/5	0.000313	0.000313	granger_significant_terms_nrevss_lag1.txt, granger_significant_terms_nrevss_lag2.txt

NREVSS FDR significant terms (not Bonferroni): 27

Term	Count/5	Mean_p_value	Median_p_value	NREVSS_Files
cold flu symptoms	2/5	0.003412	0.003412	granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag1.txt, granger_significant_terms_nrevss_lag3.txt, granger_significant_terms_nrevss_lag2.txt
symptoms of the flu	2/5	0.002601	0.002601	granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag3.txt, granger_significant_terms_nrevss_lag2.txt
avian flu news + avian flu outbreak + bird flu out_804ade0a	2/5	0.000947	0.000947	granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag3.txt, granger_significant_terms_nrevss_lag2.txt
the flue	2/5	0.002018	0.002018	granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag3.txt
epidemic	2/5	0.002521	0.002521	granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag1.txt, granger_significant_terms_nrevss_lag3.txt
symptoms of pneumonia	1/5	0.002021	0.002021	granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag1.txt, granger_significant_terms_nrevss_lag3.txt
stomach virus	1/5	0.004325	0.004325	granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag1.txt
flu incubation	1/5	0.001134	0.001134	granger_significant_terms_nrevss_lag1.txt
how long contagious	1/5	0.001790	0.001790	granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag3.txt, granger_significant_terms_nrevss_lag2.txt
fever reducer	1/5	0.003405	0.003405	granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag3.txt, granger_significant_terms_nrevss_lag2.txt
fever with flu	1/5	0.001866	0.001866	granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag3.txt, granger_significant_terms_nrevss_lag2.txt
cough and sore throat	1/5	0.000919	0.000919	granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag4.txt
stomach flu diarrhea	1/5	0.002539	0.002539	granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag4.txt
robitussin	1/5	0.004744	0.004744	granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag4.txt
fever flu symptoms	1/5	0.000602	0.000602	granger_significant_terms_nrevss_lag1.txt, granger_significant_terms_nrevss_lag3.txt
sinus medicine	1/5	0.004128	0.004128	granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag1.txt
what is the flu	1/5	0.000993	0.000993	granger_significant_terms_nrevss_lag3.txt, granger_significant_terms_nrevss_lag2.txt
flu children	1/5	0.000469	0.000469	granger_significant_terms_nrevss_lag1.txt, granger_significant_terms_nrevss_lag3.txt, granger_significant_terms_nrevss_lag2.txt
(TOPIC)03t8j0	1/5	0.001008	0.001008	granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag1.txt
(TOPIC)09gh4jl + best flu medicine + best medicine_e404534b	1/5	0.003145	0.003145	granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag3.txt
