date,influenza type a,get over the flu,type a influenza,flu care,symptoms of flu,treating flu,i have the flu,how long contagious,flu duration,flu vs cold,taking temperature,fight the flu,flu contagious,having the flu,flu versus cold,reduce a fever,flu fever,treatment for flu,bronchitis,cure the flu,treat the flu,human temperature,how long flu,medicine for flu,how to treat the flu,dangerous fever,flu germs,flu length,signs of the flu,the flu,cold vs flu,cure flu,over the counter flu,remedies for flu,flu and cold,exposed to flu,how long is the flu,influenza a and b,thermoscan,low body,symptoms of the flu,contagious flu,flu complications,early flu symptoms,flu recovery,how long does the flu last,high fever,remedies for the flu,cold or flu,fever flu,flu children,flu report,flu medicine,oscillococcinum,the flu virus,incubation period for flu,flu or cold,flu remedies,how to treat flu,break a fever,normal body,how long is flu contagious,pneumonia,flu contagious period,is flu contagious,flu treatments,flu headache,influenza incubation period,treat flu,influenza symptoms,flu in children,is the flu contagious,braun thermoscan,how to get rid of the flu,what to do if you have the flu,reduce fever,fever cough,flu how long,medicine for the flu,flu treatment,cold and flu,flu lasts,how long is the flu contagious,normal body temperature,over the counter flu medicine,incubation period for the flu,fever reducer,get rid of the flu,treating the flu,do i have the flu
2023-04-16,0,0,0,7,25,0,1,20,0,2,0,0,20,0,0,0,4,0,45,0,0,14,17,0,0,2,0,0,0,19,3,0,0,3,32,0,0,0,10,68,0,20,0,0,0,0,37,0,4,11,0,0,23,12,0,0,23,0,0,0,7,0,23,0,1,0,7,0,0,9,0,0,22,0,0,4,16,17,0,3,33,0,0,25,0,0,0,0,0,0
2023-04-23,0,0,0,0,24,0,0,17,0,1,0,0,19,0,0,0,3,0,41,0,0,11,17,0,0,1,0,0,0,16,4,0,0,0,33,0,0,0,8,67,0,19,0,0,0,0,38,0,4,8,0,0,18,0,0,0,23,0,0,0,6,0,20,0,1,0,4,0,0,6,0,0,26,0,0,5,13,17,0,2,33,0,0,23,0,0,0,0,0,44
2023-04-30,0,0,0,0,19,0,1,16,0,0,0,0,19,0,0,0,5,0,43,0,0,10,15,4,0,0,0,0,0,18,3,0,0,0,28,0,0,0,7,67,7,19,0,0,0,4,34,0,0,12,0,0,23,0,0,0,0,0,0,0,6,0,20,0,0,0,0,0,7,13,0,0,25,0,0,4,16,15,0,0,28,0,0,19,0,0,0,0,0,43
2023-05-07,0,0,0,0,22,0,0,17,0,1,0,0,24,0,0,0,5,0,45,0,0,11,18,0,0,2,0,0,0,20,3,0,0,0,32,0,0,0,8,66,8,24,0,0,0,5,41,0,4,14,0,0,16,0,0,0,25,31,0,23,6,0,19,0,0,0,6,0,0,10,0,0,0,0,0,4,14,18,0,4,33,0,0,24,0,0,0,0,0,0
2023-05-14,0,0,0,0,26,0,0,18,0,1,0,0,21,0,0,0,4,0,45,0,0,16,15,0,0,0,0,0,0,16,3,0,0,0,33,0,0,0,0,73,0,21,0,0,0,0,33,0,4,10,0,0,17,0,0,0,21,0,0,27,5,0,21,0,0,0,0,0,5,7,0,0,0,0,0,4,13,15,0,3,32,0,0,20,0,0,0,0,0,0
2023-05-21,0,0,0,0,21,0,1,16,0,1,0,0,24,0,0,0,4,0,44,0,0,11,15,0,0,2,0,0,0,15,0,0,0,0,31,0,0,0,0,58,7,24,0,0,0,0,30,0,6,9,0,0,15,0,0,0,34,0,0,19,5,0,20,0,1,0,0,4,0,5,0,0,0,0,0,6,13,15,0,3,30,0,0,17,0,0,0,0,0,0
2023-05-28,0,0,0,0,22,0,1,17,0,1,6,0,0,0,0,0,4,0,40,0,0,11,11,0,0,1,0,0,0,15,3,0,0,0,24,0,0,0,8,71,0,0,0,0,0,0,30,0,4,9,0,0,0,0,0,0,25,0,0,0,6,0,19,0,0,0,0,0,0,5,0,0,0,0,0,4,9,11,0,0,23,0,0,19,0,0,0,0,0,0
2023-06-04,0,0,0,0,18,0,0,14,0,1,0,0,9,0,0,0,4,0,38,0,0,11,11,0,0,2,0,0,0,13,2,0,0,0,22,0,0,0,0,59,0,9,0,0,0,0,30,0,0,10,0,0,0,15,0,0,0,0,0,25,5,0,18,0,0,0,0,0,0,8,0,0,0,0,0,5,14,11,0,3,21,4,0,18,0,0,0,0,0,0
2023-06-11,0,0,0,0,16,0,1,13,0,1,0,0,15,0,0,0,2,0,35,0,0,10,14,3,0,1,0,0,0,13,4,0,0,0,22,0,0,0,0,64,0,15,0,0,0,0,33,0,0,6,0,0,15,0,0,0,0,0,0,0,5,0,17,0,0,0,0,0,6,5,0,0,0,0,0,3,12,14,0,0,23,0,0,16,0,0,0,0,0,0
2023-06-18,0,0,0,0,17,0,0,15,0,1,6,0,13,0,0,0,3,0,38,0,0,11,13,0,0,0,0,0,0,15,4,0,0,0,23,0,0,0,0,63,0,13,0,0,0,0,31,0,4,7,0,0,19,0,0,0,24,0,0,0,5,0,17,0,0,0,0,0,0,0,0,0,0,0,0,4,13,13,0,3,23,0,0,16,0,0,0,44,0,0
2023-06-25,0,0,0,0,0,0,0,14,0,1,0,0,12,0,0,0,3,0,35,0,0,9,13,0,0,1,0,0,0,11,3,0,0,0,21,0,0,0,0,52,0,12,0,0,0,0,31,0,0,7,0,0,20,0,0,0,0,0,0,0,5,0,17,0,0,0,0,0,0,0,0,0,0,0,0,4,12,13,0,0,21,0,0,17,0,0,0,0,0,0
2023-07-02,0,0,0,0,15,0,0,15,0,1,0,0,12,0,0,0,4,0,36,0,0,9,11,0,0,0,0,0,0,12,3,0,0,0,23,0,0,0,0,68,0,12,0,0,0,0,32,0,0,10,0,0,15,0,0,0,0,0,0,21,5,0,15,0,0,0,6,0,0,8,0,0,0,0,0,5,12,11,0,0,22,0,0,18,0,0,0,0,0,0
2023-07-09,0,0,0,0,16,0,0,13,0,0,0,0,10,0,0,0,5,0,35,0,0,10,13,0,0,1,0,0,0,12,0,0,0,0,21,0,0,0,0,65,0,10,0,0,0,0,24,0,0,12,0,0,16,0,0,0,0,0,0,0,5,0,16,0,0,0,0,0,0,4,0,0,0,0,0,4,9,13,0,0,20,0,0,15,0,0,0,0,0,0
2023-07-16,0,0,0,0,14,0,0,13,0,1,0,0,11,0,0,0,3,1,33,0,0,10,11,0,0,0,0,0,0,11,0,0,0,0,22,0,0,0,0,63,7,11,0,0,0,0,27,0,0,7,0,0,16,0,0,0,0,0,0,21,6,0,15,0,0,0,0,0,0,0,0,0,0,0,0,5,10,11,0,0,21,0,0,20,0,0,0,0,0,0
2023-07-23,0,0,0,0,15,0,0,15,0,0,0,0,12,0,0,0,3,0,28,0,0,9,12,0,0,0,0,0,0,11,0,0,0,0,17,9,0,0,10,61,0,12,0,0,0,0,26,0,0,8,0,0,14,0,0,0,0,0,0,0,4,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12,0,4,16,0,0,14,0,0,0,0,0,0
2023-07-30,0,0,0,0,14,0,0,15,0,0,0,0,12,0,0,0,4,0,30,0,0,9,9,0,0,1,0,0,0,11,0,0,0,0,19,0,0,0,0,58,0,12,0,0,0,0,27,0,0,10,0,0,20,0,0,0,0,0,0,0,5,0,15,0,0,0,5,0,0,0,0,0,0,0,0,4,8,9,0,0,18,0,0,16,0,0,0,0,0,0
2023-08-06,0,0,0,0,11,0,0,14,0,1,0,0,13,0,0,0,3,0,32,0,0,10,11,0,0,1,0,0,0,11,3,0,0,0,19,0,0,0,0,59,0,13,0,0,0,0,29,0,0,8,0,0,15,0,0,0,0,0,0,23,4,0,17,0,0,0,0,0,0,5,0,0,0,0,0,5,8,11,0,0,18,0,0,12,0,0,0,0,0,0
2023-08-13,0,0,0,9,9,0,0,14,0,0,0,0,7,0,0,0,2,0,31,0,0,9,10,0,0,0,0,0,0,12,0,0,0,0,22,0,0,0,0,58,0,7,0,0,0,0,27,0,0,6,0,0,22,0,0,0,0,0,0,0,5,0,14,0,0,0,0,0,0,0,0,0,0,0,0,4,5,10,0,4,21,0,3,20,0,0,0,0,0,0
2023-08-20,0,0,0,0,14,0,1,17,0,0,0,0,16,0,0,0,3,0,30,0,0,5,10,0,0,1,0,0,0,13,0,0,0,0,25,0,0,0,0,62,9,16,0,0,0,0,26,0,5,7,0,0,19,0,0,0,28,0,0,0,5,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,0,0,25,0,0,18,0,0,0,0,0,0
2023-08-27,0,0,0,0,13,0,0,19,0,1,0,0,12,0,0,0,4,0,32,0,0,8,11,3,0,1,0,0,0,13,3,0,0,0,27,0,0,0,0,61,0,12,0,0,0,0,28,0,4,10,0,0,22,0,0,0,24,0,0,0,5,0,14,0,0,0,0,0,0,0,0,0,0,0,0,4,9,11,0,0,27,0,0,20,0,0,0,0,0,0
2023-09-03,0,0,0,0,9,0,0,17,0,2,11,0,13,0,0,0,3,0,33,0,0,9,12,0,0,1,0,0,0,16,4,0,0,0,32,0,0,0,0,59,0,13,0,0,0,4,33,0,7,8,0,0,11,0,0,0,39,0,0,0,6,0,18,0,0,0,0,0,0,0,0,0,0,0,0,4,11,12,0,0,31,0,0,19,0,0,0,0,0,56
2023-09-10,0,0,0,0,20,0,1,19,0,2,0,0,11,0,0,0,3,0,34,0,0,11,13,4,0,1,0,0,0,21,4,0,0,0,37,0,8,0,0,80,8,11,0,0,0,0,28,0,5,7,0,0,32,0,0,0,27,0,0,21,6,0,17,0,0,0,4,0,0,0,0,0,0,0,0,3,9,13,0,4,38,0,0,23,0,0,0,0,0,0
2023-09-17,0,0,0,0,30,0,1,24,0,2,12,0,19,0,0,0,5,0,39,0,0,12,20,0,0,1,0,0,0,26,7,0,0,0,53,0,9,0,0,78,10,19,0,0,0,5,34,4,12,13,0,0,28,11,13,0,67,0,0,23,8,0,21,0,1,0,8,0,0,11,0,0,0,0,0,4,12,20,0,3,54,0,0,31,0,0,0,0,0,0
2023-09-24,0,0,0,0,27,0,2,25,0,2,9,0,23,0,0,0,6,0,47,0,0,8,18,0,0,1,0,0,0,28,3,0,0,0,55,0,0,0,9,64,13,23,0,0,0,0,31,0,10,15,0,0,38,0,0,0,58,0,0,21,7,0,24,0,0,0,0,0,0,6,0,0,25,0,0,4,15,18,0,4,54,0,0,24,0,0,0,0,0,0
2023-10-01,0,0,0,8,25,0,1,28,0,2,9,0,20,0,0,0,4,0,50,0,0,12,22,3,0,1,0,0,0,33,5,0,0,0,50,0,0,0,8,65,9,20,0,0,0,0,27,0,6,11,0,0,36,0,13,0,34,0,0,0,6,0,26,0,1,0,5,0,0,7,0,0,0,0,0,6,12,22,0,4,50,0,0,20,0,0,0,0,0,0
2023-10-08,0,0,0,12,31,0,1,25,0,3,0,0,22,0,0,0,7,0,50,0,0,11,31,3,0,1,0,0,0,41,6,0,0,0,52,0,0,0,0,68,13,22,0,0,0,0,30,0,10,16,17,0,37,11,11,0,56,0,0,0,7,0,27,0,0,0,8,0,0,6,0,27,0,0,0,4,13,31,0,3,52,0,0,21,0,0,0,0,0,0
2023-10-15,0,0,0,10,45,0,2,23,0,3,7,0,27,0,0,0,7,0,54,0,0,14,37,4,0,1,0,0,0,50,8,0,0,0,45,0,11,0,9,66,12,27,0,0,0,4,32,0,8,16,12,11,48,11,12,0,47,19,0,38,7,0,29,0,1,0,8,0,0,9,0,0,0,0,0,6,13,37,0,5,46,3,0,23,0,0,0,0,0,0
2023-10-22,0,0,0,18,28,0,2,24,0,3,6,0,29,0,0,0,7,0,52,0,0,14,43,4,0,1,0,0,0,48,7,0,0,0,47,0,11,0,8,66,9,29,0,0,0,5,31,0,9,18,16,0,41,0,13,0,48,0,0,0,7,0,28,0,1,0,5,0,5,14,0,0,0,0,0,4,15,43,0,4,47,0,0,23,0,0,0,0,0,0
2023-10-29,0,0,0,7,36,0,2,24,0,3,0,0,19,8,0,0,8,0,60,0,0,12,41,0,0,2,0,0,0,47,9,0,0,0,52,0,0,0,9,71,13,19,0,0,0,5,34,0,8,21,16,0,40,12,11,0,44,20,23,0,6,0,27,0,0,0,9,0,6,10,0,0,24,0,0,4,16,41,0,5,51,0,0,26,0,0,0,0,0,0
2023-11-05,0,0,0,8,33,0,2,26,0,3,7,0,29,6,0,0,9,0,63,0,0,11,42,0,0,2,0,0,0,44,10,0,0,0,53,0,10,0,0,75,13,29,0,0,0,6,34,0,8,21,14,0,35,15,15,0,47,0,0,22,7,0,32,0,1,0,9,0,6,15,0,29,25,0,0,5,19,42,0,7,53,0,0,24,0,0,0,0,0,0
2023-11-12,0,0,0,11,37,0,2,27,0,3,0,0,27,14,0,0,11,0,64,0,0,9,44,4,0,1,0,0,0,41,9,0,0,0,52,0,13,0,0,70,12,27,0,0,0,7,43,0,11,29,0,0,46,0,14,0,63,0,21,28,7,0,34,0,1,0,9,0,0,16,0,0,0,0,0,6,24,44,0,6,53,3,0,28,0,0,0,0,0,45
2023-11-19,0,0,0,7,37,0,3,29,0,3,7,0,33,0,0,0,10,0,70,0,0,14,36,3,0,2,0,0,0,39,7,3,0,0,54,0,10,0,7,86,9,33,0,0,0,9,40,0,8,24,11,0,41,13,21,0,45,25,0,38,7,0,49,0,1,0,8,0,0,21,0,0,24,0,0,6,21,36,0,7,54,0,0,28,0,0,0,0,0,0
2023-11-26,13,0,13,10,46,0,2,33,1,4,0,0,44,11,0,0,10,0,73,0,0,14,42,8,0,2,0,0,0,40,12,4,0,0,65,0,15,0,0,84,14,44,0,0,7,7,46,0,12,25,0,0,50,10,12,0,65,28,0,0,8,0,65,0,1,0,10,0,0,28,0,0,0,0,0,9,31,42,0,7,64,0,0,30,0,0,0,47,0,0
2023-12-03,0,0,0,8,55,0,3,34,0,4,8,0,56,9,0,0,11,0,82,0,0,14,50,4,0,2,0,0,0,48,12,0,0,4,64,0,16,8,0,75,14,56,0,0,0,9,62,0,7,28,0,0,55,16,15,0,42,35,0,49,8,1,55,0,1,0,11,0,0,34,0,49,0,0,0,6,28,50,0,7,65,0,3,31,0,0,0,0,0,57
2023-12-10,0,0,0,8,49,0,3,42,0,4,11,0,66,7,0,0,14,0,87,0,0,14,56,3,0,2,0,0,0,50,11,0,0,3,64,0,16,0,8,68,18,66,0,0,0,13,58,0,13,34,11,0,48,17,14,0,72,37,0,54,8,1,45,0,1,0,12,0,9,47,0,55,23,0,0,9,29,56,0,6,65,0,0,33,0,0,0,0,0,52
2023-12-17,14,0,14,9,55,0,2,54,1,3,7,0,91,12,0,1,16,2,89,0,0,11,73,4,0,2,0,0,0,56,8,4,0,3,72,11,29,0,0,64,18,91,0,0,0,17,67,0,13,39,12,0,50,22,17,0,75,38,0,69,8,1,45,0,2,0,13,0,6,48,0,78,0,0,0,11,37,73,0,10,74,0,4,34,0,0,46,50,0,0
2023-12-24,0,0,0,0,59,0,3,45,0,4,0,0,100,10,0,0,17,0,77,0,0,11,73,8,0,3,0,0,0,56,9,3,0,0,85,0,23,0,10,67,18,100,0,0,0,12,64,0,17,43,0,0,67,15,15,0,96,39,0,87,8,1,44,0,3,0,12,0,8,48,0,98,0,47,0,13,36,73,0,5,87,0,4,36,0,0,0,63,0,55
2023-12-31,10,0,10,0,50,0,3,34,0,4,9,0,71,9,0,0,13,0,86,0,0,12,56,7,0,2,0,0,0,45,11,4,0,4,72,0,17,0,10,73,15,71,0,0,0,11,46,0,14,32,18,0,53,0,0,0,81,36,0,38,7,1,48,0,1,0,10,0,10,45,0,65,45,0,0,5,26,56,0,4,75,0,4,31,0,0,0,0,0,0
2024-01-07,0,0,0,0,36,0,2,23,0,4,0,0,38,7,0,0,9,0,64,0,0,14,37,4,0,2,0,0,0,38,11,4,0,0,53,0,16,0,7,76,8,38,0,0,6,5,38,0,11,23,0,0,34,12,15,0,59,30,0,27,7,0,39,0,1,0,11,0,4,34,0,42,31,0,0,5,18,37,0,7,53,0,0,29,0,0,0,0,0,0
2024-01-14,0,0,0,8,40,0,1,20,0,3,8,0,35,7,0,0,8,0,60,0,0,12,31,4,0,2,0,0,1,31,9,0,0,0,46,0,8,0,9,71,9,35,0,0,9,7,45,0,6,19,0,0,32,0,16,0,36,0,0,0,7,0,32,0,1,0,9,0,0,26,0,26,28,0,0,4,18,31,0,4,45,0,0,26,0,0,0,0,0,0
2024-01-21,0,0,0,0,24,0,2,21,0,2,0,0,32,9,0,0,8,0,52,0,0,13,35,3,0,1,0,0,0,30,6,0,0,0,43,0,14,0,0,92,13,32,0,9,0,5,42,0,9,21,0,0,29,10,0,0,48,0,0,28,7,0,31,0,1,0,7,0,6,24,0,37,26,0,0,6,24,35,0,3,44,0,0,26,0,0,0,0,0,0
2024-01-28,8,0,8,0,30,0,1,20,0,1,8,0,35,8,11,0,8,0,51,0,0,12,29,0,0,1,0,0,0,29,4,0,0,0,45,0,12,0,0,66,11,35,0,0,0,7,41,0,6,21,0,0,27,0,13,0,33,24,0,0,6,0,29,0,1,0,7,0,0,25,0,28,33,0,0,7,21,29,0,4,45,0,0,26,0,0,0,0,0,0
2024-02-04,0,0,0,0,39,0,2,22,0,2,11,0,28,0,0,0,7,0,50,0,0,15,33,3,0,2,0,0,0,29,7,0,0,0,41,0,10,0,7,86,9,28,0,0,0,8,41,0,8,18,0,0,25,0,11,0,44,0,0,29,7,0,29,0,1,0,7,0,0,24,0,0,26,0,0,4,18,33,0,4,43,0,0,26,0,0,0,0,0,0
2024-02-11,0,0,0,0,34,0,2,22,0,3,0,0,35,10,0,0,7,0,53,0,0,11,31,3,0,1,0,0,0,29,7,0,0,0,43,0,10,0,0,76,10,35,0,0,0,8,36,0,11,18,0,15,30,0,13,0,59,0,0,22,6,0,29,0,1,0,9,0,6,19,0,0,27,0,0,5,20,31,0,6,45,0,0,20,0,0,0,0,0,0
2024-02-18,0,0,0,0,35,0,2,22,0,3,0,0,39,0,0,0,7,0,55,0,0,11,28,4,0,1,0,0,0,31,7,0,0,0,45,0,0,0,8,86,14,39,0,0,0,6,39,0,10,18,0,0,34,0,13,0,54,0,0,37,6,0,30,0,1,0,8,0,0,23,0,26,0,0,0,6,18,28,0,7,45,0,0,19,0,0,0,0,0,0
2024-02-25,0,0,0,0,31,0,2,22,0,3,7,0,39,9,0,0,9,0,57,0,0,11,31,3,0,1,0,0,0,31,8,0,0,0,46,12,9,0,8,80,13,39,0,0,0,5,38,0,5,23,0,15,32,16,0,0,26,24,0,37,6,0,30,0,1,0,6,0,6,20,0,0,0,0,0,6,23,31,3,3,46,0,0,23,0,0,0,0,0,0
2024-03-03,0,0,0,0,27,0,2,21,0,2,8,0,30,0,0,0,8,0,55,0,3,10,33,3,0,2,0,0,0,32,7,0,0,0,43,0,13,0,0,91,9,30,0,0,0,10,40,0,6,19,0,0,39,0,12,0,36,23,26,37,6,1,31,0,1,0,11,0,11,20,0,28,0,0,0,5,21,33,0,3,43,0,4,18,0,0,0,0,0,0
2024-03-10,0,0,0,0,28,0,1,20,0,2,0,0,32,0,0,0,7,0,56,0,0,10,27,4,0,0,0,0,0,26,6,0,0,0,44,0,0,0,0,78,9,32,0,0,0,5,36,0,5,17,0,0,28,0,0,0,29,0,0,25,7,0,31,0,1,0,5,0,0,19,0,25,0,0,0,5,20,27,0,5,46,0,0,20,0,0,0,0,0,55
2024-03-17,0,0,0,0,19,0,2,18,0,2,9,0,28,0,0,0,6,0,55,0,0,11,25,0,0,1,0,0,1,27,4,0,0,0,44,0,0,0,9,89,0,28,0,0,0,4,33,0,7,16,0,0,34,0,13,0,42,0,0,0,5,0,29,0,1,0,5,0,0,22,0,0,0,0,0,5,16,25,0,5,44,0,0,19,0,0,0,0,0,0
2024-03-24,0,0,0,0,25,0,1,21,0,1,0,0,32,0,0,0,5,0,51,0,0,7,25,3,0,2,0,0,0,22,5,0,0,0,34,0,0,0,0,76,9,32,0,0,0,5,30,0,8,11,0,0,31,0,0,0,45,0,0,33,6,0,28,0,1,0,7,0,0,16,0,0,0,0,0,4,17,25,0,4,33,0,0,21,0,0,0,0,0,0
2024-03-31,0,0,0,0,35,0,2,18,0,2,9,0,26,0,0,0,6,0,52,0,0,8,23,0,0,1,0,0,0,25,5,0,0,0,31,0,0,0,0,77,8,26,0,0,0,5,35,0,8,14,0,0,15,14,18,0,44,0,23,27,6,0,29,0,1,0,6,0,5,20,0,25,0,0,0,3,15,23,0,4,33,0,0,18,0,0,0,0,0,0
2024-04-07,0,0,0,0,25,0,0,16,0,0,0,0,25,0,0,0,7,0,53,0,0,13,22,3,0,1,0,0,0,22,3,0,0,0,32,0,8,0,0,87,0,25,0,0,0,4,27,0,4,17,0,0,23,13,0,0,21,0,0,26,6,0,26,0,1,0,0,0,0,16,0,25,0,0,0,5,17,22,0,6,30,0,0,21,0,0,0,0,0,0
2024-04-14,0,0,0,0,23,0,1,15,0,2,0,0,23,9,0,0,5,0,53,0,0,11,22,0,0,1,0,0,0,23,4,3,0,0,33,0,13,0,7,73,7,23,0,0,0,4,34,0,6,12,15,0,25,0,0,0,32,0,0,0,5,0,25,0,1,0,5,0,0,16,0,25,0,0,0,5,14,22,0,3,35,0,0,18,0,0,0,0,0,0
2024-04-21,0,0,0,0,24,0,1,16,0,2,0,0,20,0,0,0,5,0,46,0,0,8,19,0,0,1,0,0,0,21,5,0,0,0,31,0,0,0,8,82,11,20,0,0,0,4,27,0,4,12,0,0,21,0,25,0,22,0,0,0,5,0,25,0,0,0,0,0,0,12,0,0,23,0,0,3,17,19,0,4,31,0,0,16,0,0,0,0,0,0
2024-04-28,0,0,0,0,27,0,1,17,0,2,0,0,15,0,0,0,4,0,52,0,0,11,17,0,0,0,0,0,0,19,5,0,0,0,34,0,0,0,0,66,0,15,0,0,7,0,26,0,5,11,0,0,22,0,16,0,28,0,0,43,5,1,24,0,1,0,0,0,0,14,0,0,0,0,0,3,11,17,0,0,34,0,0,16,0,0,0,0,0,0
2024-05-05,0,0,0,0,22,0,2,16,0,1,0,0,19,0,0,0,6,0,46,0,0,10,17,0,0,1,0,0,0,21,4,0,0,0,33,0,9,0,0,66,0,19,0,0,0,4,29,0,5,14,0,0,17,0,0,0,30,0,0,24,5,0,23,0,1,0,0,0,0,11,0,0,0,0,0,4,14,17,0,5,32,0,0,18,0,0,0,0,0,0
2024-05-12,0,0,0,0,22,0,0,16,0,1,0,0,12,0,0,0,4,0,45,0,0,11,15,0,0,0,0,0,0,16,4,0,0,0,29,0,0,0,0,75,0,12,0,0,0,4,28,0,0,10,0,0,23,0,0,0,0,0,0,0,5,0,23,0,0,0,5,0,0,10,0,0,0,0,0,4,14,15,0,3,28,0,0,14,0,0,0,0,0,0
2024-05-19,0,0,0,0,17,0,1,16,0,2,0,0,13,0,0,0,3,0,38,0,0,7,17,3,0,0,0,0,0,16,4,0,0,0,29,0,0,0,0,57,0,13,0,0,0,0,25,0,6,8,0,0,24,0,0,0,34,0,0,26,5,0,22,0,0,0,0,0,0,7,0,0,0,0,0,0,15,17,0,3,30,0,0,17,0,0,0,0,0,0
2024-05-26,0,0,0,0,22,0,0,15,0,2,0,0,18,0,0,0,4,0,41,0,0,10,12,0,0,0,0,0,0,18,4,0,0,0,30,0,0,0,0,53,0,18,0,0,0,5,22,0,0,11,0,0,18,0,0,0,0,0,0,0,6,0,22,0,0,0,0,0,0,6,0,0,0,0,0,4,12,12,0,4,30,0,0,19,0,0,0,100,0,0
2024-06-02,0,0,0,0,16,0,0,16,0,0,0,0,12,0,0,0,3,0,37,0,0,10,12,0,0,1,0,0,0,15,5,0,0,0,26,0,0,8,0,60,0,12,0,0,0,0,29,0,4,7,0,0,25,0,0,0,25,0,0,0,5,0,20,0,0,0,0,0,0,7,0,0,0,0,0,4,10,12,0,3,26,0,0,17,0,0,0,0,0,0
2024-06-09,0,0,0,0,16,0,0,16,0,1,0,0,14,0,0,0,4,0,37,0,0,11,12,0,0,1,0,0,0,15,0,0,0,0,26,0,0,0,0,63,0,14,0,0,0,0,29,0,5,10,0,0,20,0,0,0,31,0,0,0,5,0,22,0,0,0,7,0,0,8,0,0,0,0,0,4,7,12,0,0,24,0,0,15,0,0,51,0,0,0
2024-06-16,0,0,0,0,14,0,1,14,0,2,12,0,13,8,0,0,3,0,37,0,0,17,13,0,0,1,0,0,0,15,6,0,0,0,22,0,0,0,0,56,0,13,0,0,0,0,28,0,4,7,0,0,16,0,0,0,22,0,0,0,5,0,19,0,0,0,0,0,0,6,0,0,0,0,0,5,10,13,0,0,22,0,0,14,0,0,0,0,0,0
2024-06-23,0,0,0,0,15,0,0,16,0,0,0,0,10,0,0,0,4,0,37,0,0,8,11,0,0,0,0,0,0,13,0,0,0,0,24,0,0,0,0,54,8,10,0,0,0,0,26,0,0,10,0,0,23,0,0,0,0,0,0,0,5,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,14,11,0,0,23,0,0,18,0,0,0,0,0,0
2024-06-30,0,0,0,0,21,0,0,16,0,1,0,0,16,0,0,0,3,0,32,0,0,9,14,0,0,0,0,0,0,14,4,3,0,0,25,0,0,0,0,53,7,16,0,0,0,5,26,0,5,8,0,0,16,0,0,0,29,0,0,26,5,0,18,0,0,0,0,0,0,5,0,0,0,0,0,6,15,14,0,0,25,0,0,14,0,0,0,0,0,0
2024-07-07,0,0,0,0,12,0,0,15,0,1,0,0,8,0,0,0,4,0,36,0,0,9,13,0,0,1,0,0,0,13,3,0,0,0,21,0,0,0,0,69,0,8,0,0,0,0,26,0,0,9,0,12,12,0,0,0,0,0,0,0,5,0,21,0,0,0,0,0,0,0,0,0,0,0,0,3,11,13,0,0,21,0,0,17,0,0,0,0,0,0
2024-07-14,0,0,0,0,13,0,0,15,0,2,0,0,9,0,0,0,4,0,31,0,0,11,11,0,0,1,0,0,0,11,0,0,0,0,25,0,0,0,0,66,0,9,0,0,0,0,26,0,0,10,0,0,15,0,0,0,0,0,0,0,5,0,21,0,0,0,5,0,0,0,0,0,26,0,0,5,11,11,0,0,24,0,0,19,0,0,0,0,0,0
2024-07-21,0,10,0,0,12,0,0,17,0,0,0,0,10,0,0,0,3,0,32,0,0,6,9,0,0,1,0,0,0,12,3,0,0,0,20,0,0,0,0,66,0,10,0,0,0,0,23,0,5,7,0,0,21,0,0,0,28,0,0,0,5,0,21,0,0,0,5,0,0,9,0,0,0,0,0,0,13,9,0,0,22,0,0,14,0,0,0,0,0,0
2024-07-28,0,0,0,0,11,0,0,17,0,1,0,0,11,0,0,0,3,0,34,0,0,7,10,0,0,1,0,0,0,12,4,0,0,0,21,0,0,0,0,52,0,11,0,0,0,0,31,0,0,8,0,0,19,0,0,0,0,0,0,0,4,0,21,1,0,0,0,0,0,0,0,0,0,0,0,4,15,10,0,4,20,0,0,14,0,0,0,0,0,0
2024-08-04,0,0,0,0,11,0,0,14,0,1,8,0,12,7,0,0,4,0,36,0,0,8,13,0,0,0,0,0,0,12,3,0,0,0,19,0,0,0,9,59,0,12,0,0,0,0,28,0,0,9,0,0,14,0,0,0,0,0,0,0,5,0,20,0,0,0,0,0,0,0,0,0,25,0,0,6,9,13,0,0,19,0,0,15,0,0,0,0,0,0
2024-08-11,0,0,0,0,11,0,0,18,0,0,0,0,0,0,0,0,3,0,33,0,0,7,8,0,0,1,0,0,0,13,0,0,0,0,21,0,0,0,0,62,0,0,0,0,0,0,24,0,0,7,0,0,14,0,0,0,0,0,0,0,5,0,21,0,1,0,0,0,0,0,0,0,0,0,0,4,12,8,0,0,22,0,0,18,0,0,0,0,0,0
2024-08-18,0,0,0,0,16,0,0,16,0,0,0,0,13,0,0,0,2,0,39,0,0,9,11,0,0,1,0,0,0,16,3,0,0,0,23,0,0,0,0,71,0,13,0,0,0,0,29,0,0,6,0,0,27,0,0,0,0,0,0,0,5,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,14,11,0,0,25,0,0,18,0,0,0,0,0,0
